uuid,Keywords,label
0,Smoking Cessation; General Population; Lower Concentrations; Former Smokers; Current Smokers; Cigarette Smoking,1
1,Supply Chain; Chain Sustainability; Hypothesis Indicating; Pharmaceutical Supply; Social Networks; Pharmaceutical Companies,1
2,Ecological Footprint; Dual Adjustment; Adjustment Approach; Cointegration Analysis; Renewable Energy; Trade Openness,0
3,Student Volunteering; University Student,1
4,Superoxide Dismutase; Moderate Hypothermia; Glutathione Peroxidase; Glutathione Reductase,1
5,Business Transformation; Decision Speed,1
6,Ribes Rubrum; Ulcerogenic Rats; Gastric Ulcer,1
7,Gene Expression; Signaling Pathway; Growth Factor; Hepatic Cirrhosis; Cervical Cancer; Anaplastic Thyroid,1
8,Perfluoroalkyl Acids; East China,0
9,In-Hospital Mortality; Gdf-15 Level; Serum Gdf-15; Arrhythmic Risks; Acute Myocardial; Myocardial Infarction,1
10,Food Poverty; Entire Population; Analytical Approach; Regional Level,1
11,Parameter Estimation; Proposed Methods; Demand Response; Conditioning Loads; Ahead Scheduling,0
12,Energy Consumption; Environmental Degradation; Economic Growth; South Africa; Innovation Accounting; Accounting Tests,0
13,Distribution Network; Network Reconfiguration; Renewable Energy,0
14,Alveolar Bone; Bone Formation; Orthodontic Tension; Tension Force; One-Time Tamoxifen-Induced; Cell Numbers,1
15,Fgdg-Incorporated Mosc; Magnesium Oxysulfate; Oxysulfate Cement; Desulfurization Gypsum; Hydration Products; Volume Stability,0
16,Evaluation Laboratory; Circular Economy; Decision-Making Trial; Worst Method; Best Worst; Material Resources,0
17,Sars-Cov-2 Nsp1; Nsp1 Protein,1
18,Ti3C2Tx Mxene; Osmotic Energy; Mxene Membranes; Salinity Gradient; Nanoporous Ti3C2Tx,1
19,Flow Rate; Refrigeration Cycle; Mass Flow; Using R290; Outlet Water; Exergy Destruction,0
20,Parasite Genotype; Host Microbiome; Parasite Microbiome; Microbiome Composition; Host Immune,1
21,Antimicrobial Agent; Antimicrobial Agents,1
22,Population Aging; Older People; Public Health; Labor Market; Health Expenditure; Labor Markets,0
23,Electricity Trading; Residential Communities; Trading Strategies; Better Understanding,0
24,Atrial Arrhythmias,1
25,A; B,1
26,Piecewise Structural; Child Language; Structural Equation; Inhibition Significantly; Significantly Predict; Approximate Number,1
27,Post-Cardiac Arrest; Arrest Management; Intensive Care; Care Unit; Spontaneous Circulation; Cardiac Arrest,1
28,Nano-Based Formulation; Blood-Brain Barrier; Drug Moiety,1
29,Macula Densa; Reduced Ammoniagenesis; Tubuloglomerular Feedback; Model Suggests; Principal Cells,1
30,A; B,1
31,Catalytic Domain; Encodes Deduced; Bacillus Velezensis; Gh18 Chitinases,1
32,Acute Thrombosis,1
33,A; B,1
34,Biogas Plants; Biogas Plant,0
35,Coal Production; Shift Away,0
36,Spinning Reserve; Generation Company; Offering Strategy; Reserve Market; Reserve Markets; Storage System,0
37,Environmental Efficiency; Carbon Dioxide; Energy Efficiency; Dioxide Emissions; Oecd Region,0
38,Total Knee; Nail Patella; Patella Syndrome; Knee Arthroplasty,1
39,Thermal Management; Battery Thermal; Heat Pipe; Results Show; Provide Better; Better Thermal,0
40,Cell Wall; Xyloglucan Endotransglucosylase/Hydrolase; Cell Expansion; Plant Cell; Wall Loosening; Primary Cell,1
41,Adsorption Capacity; Carbon Disulfide; Aqueous Solutions; Onto Gocs; Graphene Oxide,0
42,Mitigating Agents; Zinc Coumarate; Zinc Caffeinate; Mg/Kg/Body Weight; Irradiated Rats,1
43,Renewable Energy; Energy Consumption; Social Factors; Panel Vector; Vector Auto; Auto Regression,0
44,Economic Feasibility; Mean Wind,0
45,Non-Obese Females; Subcutaneous Adipose; Adipose Tissue; Enrichment Analysis; Multi-Omics Data,1
46,Energy Trading; Residential Sector; Economic Benefits,0
47,Keqinzhangia Aquatica; Pseudocoronospora Hainanense; Southern China,1
48,Feeder Reconfiguration; Energy Storage; Storage Systems; Energy Management; Distribution Feeder; Reactive Power,0
49,A; B,1
50,Renewable Energy; Energy Consumption; Final Energy; Final Consumption; Panel Data; National Targets,0
51,Energy Consumption; Development Indicators; Financial Development; Seemingly Unrelated; Urban Sprawl; Unrelated Regression,0
52,Clean Energy; Carbon Emission; Negative Shocks; Environmental Quality; Energy Consumption,0
53,Dianthusvirgineus Group,1
54,Environmental Pollution; Respiratory Diseases; Mortality Rate; Clean Energy; Greenhouse Gasses; Gasses Emissions,0
55,Cell Membrane; Growth Metabolism; Strain W207-14; Pulsed Electric; Putida W207-14; Electric Field,1
56,Energy Consumption; Oecd Economies; Simultaneous Equation,0
57,Mcdm Techniques; Circular Economy; Measuring Circular,1
58,Real-World Objects; Created Equal; Individual Real-World; Search Performance; Objects Created; Reduced Search,1
59,Manual Ventilation,1
60,Caa-Involved Vessels; Senile Plaques; Cerebellar Hemorrhage; Strong Immunoreactivity,1
61,Blood Pump; Suspension Force; Circumferential Annular; Grooving Design; Annular Grooving; Axial Flow,1
62,Hydrophobic Modification; Filter Media; Hydraulic Conductivity; Bioclogging Problem; Media Surface; Biofilm Growth,1
63,Objective Functions; Current Density; Membrane Fuel; Power Station; Decision Variables; Maximum Allowable,0
64,A; B,1
65,Demurrage Mechanism; Local Energy; Home Energy; Energy Consumption; Electricity Costs; Energy Management,0
66,Institutional Quality; Developing Countries; Economic Growth; Modifying Role,0
67,Mimicking Nanoencapsulations; Genetic Engineering; Genetically Engineered; Mimicking Nanoencapsulation; Many Advantages; Targeting Ability,1
68,Inner Worlds,0
69,Brain Injury; Traumatic Brain; Low-Resource Settings; Prevent Secondary; Secondary Brain; Middle-Income Countries,1
70,Embodied Carbon; Carbon Emissions; China-India Trade; South-South Trade; Emissions Embodied; Carbon Emission,0
71,Career Education; Lesson Plans,1
72,Arteriovenous Fistula; Doppler Ultrasound; Brachial Artery; Bedside Ultrasound; Vascular Access; Access Thrombosis,1
73,Antioxidant Activity; Nutritional Value; Shrimp Powder; Shrimp Flesh; Nutritional Composition; Processing Methods,1
74,Human Papillomavirus; Sexual Partners; Women Living; Marital Status; Vaccination Program; Public Vaccination,1
75,Moverio Bt-35E; Virtual Bronchoscopy-Guided; Transbronchial Biopsy; Biopsy Simulation; Simulation Using; Head-Mounted Display,1
76,Gold Nanoparticles; Bluetongue Virus; Streptomyces Tuirus; Electron Microscopy; Size Gold; Novel Isolate,1
77,Interpersonal Correlates; Parental Psychological; Internet Gaming; Peer/Online Bullying; Verbal Abuse; Physical/Verbal Abuse,0
78,Social Hierarchies; Social Networks; Dominance Relations; Status Differentiation; Navigate Multiple; Relative Standing,1
79,Circular Economy; Purchase Intention; Remanufactured Products; Enhance Consumers; Emerging Economy,0
80,Renewable Energy; Energy Consumption; Environmental Degradation; Non-Renewable Energy; Economic Growth; North Africa,0
