uuid,Keywords,label
0,subclinical; habits; intensity; measured; smokers; smoking; cigarette; cardiovascular; concentrations; population; troponin; troponins; study; consumption; tobacco,1
1,beneficial; supports; supply; smart; accessible; business; chain; objectives; approaching; capabilities; reliability; industry; intelligence; sustainability; sustainable,1
2,analysis; footprint; relaxing; objective; growth; policies; economic; cointegration; reduces; adjustment; implications; impacts; environmental; ecological; globalization,0
3,expectation; experiences; motivations; organisations; unreliable; perceptions; perpetuation; myths; volunteers; students; university; universities; student; volunteering; misconceptions,1
4,duration; conditions; dismutase; molecular; varying; glutathione; prolongation; reductase; moderate; hypothermia; peroxidase; prooxidant; antioxidant; mitochondria; antioxidants,1
5,reinforcement; companies; factors; experienced; crisis; changing; industries; turbulence; business; lessons; learned; transforming; 19; transformation; transformations,1
6,indomethacin; ameliorates; prostaglandin; ameliorative; gastric; ulcerogenic; inflammatory; antioxidant; ribes; experimental; effects; ulcer; gastroprotective; rubrum; ulcers,1
7,diseases; notch1; activations; condensation; progression; cancers; analysis; reconstruction; cirrhosis; transcriptional; ccnd1; exploratory; biological; mtorc1; pathway,1
8,river; urban; risk; effects; environment; environments; acid; pfoa; acids; effluents; perfluorooctanoic; riverine; bioaccumulation; fluorinated; perfluoroalkyl,0
9,arrhythmias; 15; incidences; adverse; serum; prognostic; infarction; risks; hospital; patients; cardiovascular; hospitalization; fibrillation; myocardial; ventricular,1
10,distributions; policies; insights; estimation; measure; measuring; nutrition; survey; analyse; perspective; insecurity; analytical; malnutrition; economic; poverty,1
11,demand; load; voltage; energy; estimating; loads; residential; conditioning; utilization; analysis; indicators; consumption; estimation; meter; evaluation,0
12,innovation; consumption; investigates; emissions; estimation; energy; economic; modelling; accounting; tests; effects; degradation; globalization; africa; environmental,0
13,networks; reliability; network; dynamic; storage; electrical; voltage; reconfiguration; renewable; distribution; strategy; discharging; management; resources; energy,0
14,toxin; cells; progeny; osteogenic; orthodontic; coimmunostaining; periodontal; alkaline; runx2; phosphatase; apposition; contribute; axin2lin; axin2; axin2creert2,1
15,flue; cement; incorporated; study; incorporation; gas; fgdg; testing; mixtures; hydration; desulfurization; diffraction; investigate; magnesium; oxysulfate,0
16,indicator; facilitates; industries; economic; analyses; organisation; circular; organisations; outcomes; adoption; organisational; economy; indicators; evaluation; economies,0
17,inhibitors; derivatives; artemisone; molecules; molecular; artemisinin; artemiside; cid6917864; artesunate; structure; infections; structural; protein; alterations; nsp1,1
18,density; nanofluidic; oxidation; nanomembrane; membranes; extraction; membrane; h2so4; salinity; efficient; harvest; harvesting; mxene; energy; ti3c2tx,1
19,warming; temperatures; temperature; hybrid; evaporator; cooling; energy; powered; solar; heat; electricity; thermal; heater; heating; photovoltaic,0
20,parasite; variation; immune; varies; differences; hosts; parasites; immunomodulation; bacterial; infected; infection; phenotype; genotype; endomicrobiome; microbiome,1
