uuid,Keywords,label
0,impact smoking intensity; concentrations smokers smoking; prospective population based; concentrations smokers; population positive; ctni dose dependent; ago concentrations hs; consumption sensitivity; population current cigarette; consumption; prospective population; cardiovascular events population; troponin measured sensitivity; ctni smokers dose; conclusions population current; troponins cigarette smoking; smokers conclusions population; tobacco; health study; cigarette smoking concentrations; cardiac troponin measured; conclusions population; concentrations cardiac troponin; troponin measured; ctni concentrations; hs ctni concentrations; troponin population hunt; ctni concentrations measured; population hunt study; ctni concentrations smokers; study tobacco habits; tobacco habits; study tobacco; troponin population; tobacco habits reported; cardiac troponin population; trondelag health study; health study tobacco; tobacco consumption; tobacco consumption sensitivity,1
1,sustainability examine relationships; reveals sustainability pharmaceutical; sustainability pharmaceutical supply; study reveals sustainability; issues obstacles sustainable; intelligence capabilities; chain spotlight; bi sustainability pharmaceutical; sustainability examine; reveals sustainability; intelligence main objectives; sustainability bi impact; business intelligence main; obstacles sustainable; sustainability; sustainable; chain spotlight business; company supply chain; sustainability adopts; explain business intelligence; chain sustainability examine; supply chain; sustainable supply; findings bi sustainability; spotlight business intelligence; implement supply chain; bi sustainability; business intelligence; chain sustainability adopts; obstacles sustainable supply; supply chain bi; sustainability bi; business intelligence capabilities; chain sustainability; chain sustainability bi; supply chain spotlight; approaching sustainable; supply chain sustainability; sustainable supply chain; approaching sustainable supply,1
2,adjustment approach; growth trade openness; singular adjustment cointegration; improve environmental quality; environmental; trade openness reduces; improve environmental; short ecological; ecological; adjustment cointegration analysis; evidence dual adjustment; dual adjustment approach; reveal globalization; globalization; footprint short ecological; matter ecological; suggests improve environmental; reduces ecological; findings reveal globalization; openness reduces ecological; globalization matter; short ecological footprint; ecological footprint short; impacts ecological; role globalization; explore role globalization; ecological footprint turkey; ecological footprint positively; reveal globalization impacts; ecological footprint; globalization impacts; matter ecological footprint; reduces ecological footprint; ecological footprint negatively; globalization ecological; impacts ecological footprint; globalization matter ecological; globalization ecological footprint; globalization impacts ecological; role globalization ecological,0
3,volunteering; interviews stakeholders students; stakeholders students; nuanced erroneous myths; organisations universities; volunteering study explored; experiences students host; volunteering development; misconceptions undermine true; organisations viewed students; potential misconceptions; complexities potential misconceptions; potential misconceptions undermine; experiences students; universities participating volunteering; volunteering development perpetuation; explored experiences students; misconceptions undermine; university student; volunteering study; viewed valuing student; undermine true student; myths misconceptions; misconceptions; valuing student; students unreliable hard; student volunteers capacity; student volunteers; students unreliable; student volunteering stakeholders; student volunteering; true student volunteering; viewed students unreliable; student volunteering study; valuing student volunteers; university student volunteering; student volunteering development; misconceptions university; myths misconceptions university; misconceptions university student,1
4,normalization rate glutathione; prolongation hypothermia increase; molecular weight antioxidants; reductase glutathione peroxidase; hypothermia varying; glutathione content prolongation; prooxidant; dismutase glutathione reductase; dynamics prooxidant; moderate hypothermia; studied conditions moderate; antioxidant; dismutase glutathione peroxidase; system mitochondria dynamics; rate glutathione reductase; hypothermia duration; mitochondria; antioxidants; hypothermia duration evaluation; content prolongation hypothermia; status rat liver; antioxidants increasing; moderate hypothermia varying; liver mitochondria; hypothermia varying duration; mitochondria dynamics; prooxidant status content; conditions moderate hypothermia; moderate hypothermia duration; antioxidants increasing duration; dynamics prooxidant status; rat liver mitochondria; antioxidant system mitochondria; prooxidant status; antioxidant status; mitochondria dynamics prooxidant; liver mitochondria conditions; mitochondria conditions; antioxidant status rat; mitochondria conditions moderate,1
5,transformations based; transformations based provide; reveal transformations perceived; 19 covid 19; time transformations; turmoil companies suffered; transformations perceived; covid 19 covid; transformations; covid 19; transforming business pandemic; reveal transformations; critical factors transforming; factors transforming; findings reveal transformations; changing business; experienced transformation processes; transformation times crisis; transformation times; experienced transformation; turbulence lessons; business model redesign; lessons learned; transformation age turbulence; transforming business; flourished changing business; learned covid 19; lessons learned covid; age turbulence lessons; business transformation process; business transformations cover; factors transforming business; turbulence lessons learned; business transformation age; investigate business transformation; effective business transformation; business transformations; business transformation; examples business transformations; business transformation times,1
6,anti inflammatory effects; antisecretory effects; gastric ulcer distributed; ameliorative effects; oil gastroprotective; rubrum oil levels; levels ribes rubrum; gastric ulcer attributed; experimental rats gastric; oil gastroprotective antisecretory; gastric ulcer; stomach ulcers; rubrum oil remarkable; rubrum oil pinene; inflammatory effects; concept ribes rubrum; induced stomach ulcers; ulcers caused indomethacin; stomach ulcers ind; administrate ribes rubrum; gastric ulcers; gastric ulcers caused; effects gastric; rubrum oil dose; gastroprotective antisecretory effects; components ribes rubrum; ribes rubrum; rubrum oil doses; effects ribes; rubrum oil; administrated ribes rubrum; antisecretory effects gastric; oil gastric ulcers; rubrum oil gastric; ribes rubrum oil; effects gastric ulcer; ameliorative effects ribes; rubrum oil gastroprotective; effects ribes rubrum; inflammatory effects ribes,1
7,pathway enrichment; types cancers; distinct types cancers; cancer pathway activated; akt signaling pathway; mtorc1; mcode analysis; transcriptional translational control; network mtorc1 built; biological functions transcriptional; progression mcode; signaling pathway; ontology analysis performed; addition pathway; mtorc1 signaling; pathway enrichment functional; pathway activated membrane; role cancer progression; cancer progression; network mtorc1; reconstruction exploratory; pathway; exploratory analysis; survival cancer pathway; cancer idh1; pathway involved; cancer progression mcode; applications diseases network; applications diseases; cancer pathway; signaling pathway applications; pathway applications; progression mcode analysis; pathway involved multiple; reconstruction exploratory analysis; mtorc1 signaling pathway; analysis mtorc1 signaling; analysis mtorc1; pathway applications diseases; exploratory analysis mtorc1,1
8,correlated perfluoroalkyl; environment nanjing urban; nanjing east china; acid pfoa; perfluoroalkyl chain; riverine waters receiving; nanjing local population; pfaas tissues bioaccumulation; waters receiving effluents; china perfluoroalkyl; environment nanjing; riverine environments; acids pfaas; pfaas investigated riverine; riverine environments downtown; epfaas nanjing city; water environments riverine; environments riverine waters; predominated perfluorooctanoic acid; perfluoroalkyl; fluxes epfaas nanjing; perfluorooctanoic acid; acids pfaas ubiquitously; environments downtown nanjing; sources human risk; environments riverine; riverine environment; acids pfaas receiving; sources pfaas water; perfluorooctanoic acid pfoa; east china perfluoroalkyl; pfaas receiving riverine; receiving riverine environment; china perfluoroalkyl acids; perfluoroalkyl acids; perfluoroalkyl acids pfaas; risk perfluoroalkyl; riverine environment nanjing; human risk perfluoroalkyl; risk perfluoroalkyl acids,0
9,patients gdf; 15 hospital; arrhythmias ventricular; increased risks hospital; acute myocardial; ventricular arrhythmias; tachycardia ventricular; fibrillation bleeding; ventricular tachycardia ventricular; gdf 15 predicts; ventricular arrhythmias ventricular; serum gdf 15; sustained ventricular arrhythmias; hospital mortality maces; tachycardia ventricular fibrillation; myocardial infarction study; arrhythmic risks; incidences hospital mortality; myocardial infarction ami; predicts hospital mortality; prognostic biomarker patients; risks patients; hospital mortality arrhythmic; myocardial infarction; 15 hospital mortality; risks hospital; hospitalization patients gdf; gdf 15 risks; ventricular fibrillation bleeding; patients acute myocardial; acute myocardial infarction; fibrillation bleeding hospitalization; patients gdf 15; 15 predicts hospital; mortality arrhythmic risks; risks hospital mortality; risks patients acute; gdf 15 hospital; 15 risks hospital; arrhythmic risks patients,1
10,poverty strand; insecurity insights food; global poverty; poverty hunger; global poverty hunger; poverty hunger malnutrition; poverty italy individuals; poverty strand focuses; food insecurity; food insecurity population; economic perspective; targets global poverty; poverty rate; multifaceted nature poverty; food poverty food; extreme food insecurity; poverty; poverty food; food poverty rate; risk food poverty; food poverty; degree food poverty; poverty food insecure; poverty security; poverty insecurity regional; poverty insecurity afford; food poverty security; poverty italy; economic perspective food; aspects poverty; poverty insecurity; poverty insecurity issues; poverty security analytical; food poverty insecurity; poverty insecurity insights; focuses food poverty; aspects poverty italy; insights food poverty; perspective food poverty; analyse food poverty,1
