uuid,Keywords,label
0,dependent; ci; cessation; associations; impact; hunt; reported; prospective; disease; conclusions; increasing; burden; cardiac; myocardial; dose; subjects; health; positive; trndelag; sensitive; impact smoking intensity; concentrations smokers smoking; prospective population based; concentrations smokers; population positive; ctni dose dependent; ago concentrations hs; consumption sensitivity; population current cigarette; consumption; prospective population; cardiovascular events population; troponin measured sensitivity; ctni smokers dose; conclusions population current; troponins cigarette smoking; smokers conclusions population; tobacco; health study; cigarette smoking concentrations,1
1,company; examination; policy; facebook; scope; aspects; spotlight; instagram; cscs; goals; direct; evaluation; implement; positive; bi; vision; expectation; adopts; examine; indicating; sustainability examine relationships; reveals sustainability pharmaceutical; sustainability pharmaceutical supply; study reveals sustainability; issues obstacles sustainable; intelligence capabilities; chain spotlight; bi sustainability pharmaceutical; sustainability examine; reveals sustainability; intelligence main objectives; sustainability bi impact; business intelligence main; obstacles sustainable; sustainability; sustainable; chain spotlight business; company supply chain; sustainability adopts; explain business intelligence,1
2,study; implicit; path; positively; controlling; matter; adopt; policy; shift; offers; improve; negatively; consumption; approach; government; trade; assumption; role; suggests; turkey; adjustment approach; growth trade openness; singular adjustment cointegration; improve environmental quality; environmental; trade openness reduces; improve environmental; short ecological; ecological; adjustment cointegration analysis; evidence dual adjustment; dual adjustment approach; reveal globalization; globalization; footprint short ecological; matter ecological; suggests improve environmental; reduces ecological; findings reveal globalization; openness reduces ecological,0
3,develop; success; potential; discover; stakeholders; explored; requiring; undermine; understanding; participating; interviews; barriers; qualitative; ongoing; practice; study; development; skills; supervise; valuing; volunteering; interviews stakeholders students; stakeholders students; nuanced erroneous myths; organisations universities; volunteering study explored; experiences students host; volunteering development; misconceptions undermine true; organisations viewed students; potential misconceptions; complexities potential misconceptions; potential misconceptions undermine; experiences students; universities participating volunteering; volunteering development perpetuation; explored experiences students; misconceptions undermine; university student; volunteering study,1
4,contribution; activity; activities; components; liver; low; studied; short; term; led; increasing; normalization; increase; rate; rat; increased; levels; decrease; status; decreased; normalization rate glutathione; prolongation hypothermia increase; molecular weight antioxidants; reductase glutathione peroxidase; hypothermia varying; glutathione content prolongation; prooxidant; dismutase glutathione reductase; dynamics prooxidant; moderate hypothermia; studied conditions moderate; antioxidant; dismutase glutathione peroxidase; system mitochondria dynamics; rate glutathione reductase; hypothermia duration; mitochondria; antioxidants; hypothermia duration evaluation; content prolongation hypothermia,1
5,huge; suffered; structure; perceived; processes; phase; studies; augmented; flourished; contexts; global; monitoring; decision; critical; economic; redesign; findings; reveal; impact; covid; transformations based; transformations based provide; reveal transformations perceived; 19 covid 19; time transformations; turmoil companies suffered; transformations perceived; covid 19 covid; transformations; covid 19; transforming business pandemic; reveal transformations; critical factors transforming; factors transforming; findings reveal transformations; changing business; experienced transformation processes; transformation times crisis; transformation times; experienced transformation,1
6,damage; study; gavaged; administrated; induced; linolenic; hb; normal; rats; albino; caused; oxide; e2; oral; stomach; pinene; findings; outcomes; antisecretory; rbcs; anti inflammatory effects; antisecretory effects; gastric ulcer distributed; ameliorative effects; oil gastroprotective; rubrum oil levels; levels ribes rubrum; gastric ulcer attributed; experimental rats gastric; oil gastroprotective antisecretory; gastric ulcer; stomach ulcers; rubrum oil remarkable; rubrum oil pinene; inflammatory effects; concept ribes rubrum; induced stomach ulcers; ulcers caused indomethacin; stomach ulcers ind; administrate ribes rubrum,1
7,sod1; cellular; functions; myc; conducted; thyroid; mcode; multiple; ncbi; samples; bioconductor; rapamycin; normalization; experimental; membrane; cancer; tlr4; inhibitions; nf1; receptors; pathway enrichment; types cancers; distinct types cancers; cancer pathway activated; akt signaling pathway; mtorc1; mcode analysis; transcriptional translational control; network mtorc1 built; biological functions transcriptional; progression mcode; signaling pathway; ontology analysis performed; addition pathway; mtorc1 signaling; pathway enrichment functional; pathway activated membrane; role cancer progression; cancer progression; network mtorc1,1
8,factors; consuming; population; fish; city; water; receiving; local; sources; epfaas; wwtp; predominated; east; uncontrolled; pfaas; fluxes; yangtze; distributed; plants; consumption; correlated perfluoroalkyl; environment nanjing urban; nanjing east china; acid pfoa; perfluoroalkyl chain; riverine waters receiving; nanjing local population; pfaas tissues bioaccumulation; waters receiving effluents; china perfluoroalkyl; environment nanjing; riverine environments; acids pfaas; pfaas investigated riverine; riverine environments downtown; epfaas nanjing city; water environments riverine; environments riverine waters; predominated perfluorooctanoic acid; perfluoroalkyl,0
9,multivariate; regression; defined; major; maces; aims; consecutive; measured; factor; indicating; acute; cardiac; gdf; bleeding; evaluate; sustained; mortality; arrhythmic; biomarker; predicts; patients gdf; 15 hospital; arrhythmias ventricular; increased risks hospital; acute myocardial; ventricular arrhythmias; tachycardia ventricular; fibrillation bleeding; ventricular tachycardia ventricular; gdf 15 predicts; ventricular arrhythmias ventricular; serum gdf 15; sustained ventricular arrhythmias; hospital mortality maces; tachycardia ventricular fibrillation; myocardial infarction study; arrhythmic risks; incidences hospital mortality; myocardial infarction ami; predicts hospital mortality,1
