uuid,Keywords,label
0,dependent; ci; cessation; 10; associations; impact; hunt; reported; prospective; disease; conclusions; increasing; burden; cardiac; 20; myocardial; dose; subjects; health; positive; trndelag; sensitive; smoker; ctni; sensitivity; subclinical; habits; intensity; measured; smokers; smoking; cigarette; cardiovascular; concentrations; population; troponin; troponins; study; consumption; tobacco,1
1,company; examination; policy; facebook; scope; aspects; spotlight; instagram; cscs; goals; direct; evaluation; implement; positive; bi; 234; vision; expectation; adopts; examine; indicating; influence; companies; twitter; obstacles; beneficial; supports; supply; smart; accessible; business; chain; objectives; approaching; capabilities; reliability; industry; intelligence; sustainability; sustainable,1
2,study; implicit; path; positively; controlling; matter; adopt; policy; shift; offers; improve; negatively; consumption; approach; government; trade; assumption; role; suggests; turkey; findings; diversify; steps; openness; evidence; analysis; footprint; relaxing; objective; growth; policies; economic; cointegration; reduces; adjustment; implications; impacts; environmental; ecological; globalization,0
3,develop; success; potential; discover; stakeholders; explored; requiring; undermine; understanding; participating; interviews; barriers; qualitative; ongoing; practice; study; development; skills; supervise; valuing; erroneous; nuanced; complexities; programs; studies; expectation; experiences; motivations; organisations; unreliable; perceptions; perpetuation; myths; volunteers; students; university; universities; student; volunteering; misconceptions,1
4,contribution; activity; activities; components; liver; low; studied; short; term; led; increasing; normalization; increase; rate; rat; increased; levels; decrease; status; decreased; evaluation; superoxide; dynamics; catalysis; suppression; duration; conditions; dismutase; molecular; varying; glutathione; prolongation; reductase; moderate; hypothermia; peroxidase; prooxidant; antioxidant; mitochondria; antioxidants,1
5,huge; suffered; structure; perceived; processes; phase; studies; augmented; flourished; contexts; global; monitoring; decision; critical; economic; redesign; findings; reveal; impact; covid; evaluated; turmoil; reality; finance; commerce; reinforcement; companies; factors; experienced; crisis; changing; industries; turbulence; business; lessons; learned; transforming; 19; transformation; transformations,1
6,damage; study; gavaged; administrated; induced; linolenic; hb; normal; rats; albino; caused; oxide; e2; oral; stomach; pinene; findings; outcomes; antisecretory; rbcs; models; oil; linalool; reductase; cytokines; indomethacin; ameliorates; prostaglandin; ameliorative; gastric; ulcerogenic; inflammatory; antioxidant; ribes; experimental; effects; ulcer; gastroprotective; rubrum; ulcers,1
7,sod1; cellular; functions; myc; conducted; thyroid; mcode; multiple; ncbi; samples; bioconductor; rapamycin; normalization; experimental; membrane; cancer; tlr4; inhibitions; nf1; receptors; prognostic; translational; approach; idh1; ontology; diseases; notch1; activations; condensation; progression; cancers; analysis; reconstruction; cirrhosis; transcriptional; ccnd1; exploratory; biological; mtorc1; pathway,1
8,916; factors; consuming; population; fish; city; water; receiving; local; sources; epfaas; wwtp; predominated; east; uncontrolled; pfaas; fluxes; yangtze; distributed; plants; consumption; china; distribution; sewage; wastewater; river; urban; risk; effects; environment; environments; acid; pfoa; acids; effluents; perfluorooctanoic; riverine; bioaccumulation; fluorinated; perfluoroalkyl,0
9,multivariate; regression; 56; defined; major; maces; 77; aims; consecutive; 19; measured; factor; 20; indicating; acute; cardiac; gdf; bleeding; evaluate; sustained; mortality; arrhythmic; biomarker; predicts; tachycardia; arrhythmias; 15; incidences; adverse; serum; prognostic; infarction; risks; hospital; patients; cardiovascular; hospitalization; fibrillation; myocardial; ventricular,1
